country,continent,year,lifeExp,pop,gdpPercap
Australia,Oceania,1952,69.12,8691212,10039.59564
Australia,Oceania,1957,70.33,9712569,10949.64959
Australia,Oceania,1962,70.93,10794968,12217.22686
Australia,Oceania,1967,71.1,11872264,14526.12465
Australia,Oceania,1972,71.93,13177000,16788.62948
Australia,Oceania,1977,73.49,14074100,18334.19751
Australia,Oceania,1982,74.74,15184200,19477.00928
Australia,Oceania,1987,76.32,16257249,21888.88903
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1997,78.83,18565243,26997.93657
Australia,Oceania,2002,80.37,19546792,30687.75473
Australia,Oceania,2007,81.235,20434176,34435.36744
Austria,Europe,1952,66.8,6927772,6137.076492
Austria,Europe,1957,67.48,6965860,8842.59803
Austria,Europe,1962,69.54,7129864,10750.72111
Austria,Europe,1967,70.14,7376998,12834.6024
Austria,Europe,1972,70.63,7544201,16661.6256
Austria,Europe,1977,72.17,7568430,19749.4223
Austria,Europe,1982,73.18,7574613,21597.08362
Austria,Europe,1987,74.94,7578903,23687.82607
Austria,Europe,1992,76.04,7914969,27042.01868
Austria,Europe,1997,77.51,8069876,29095.92066
Austria,Europe,2002,78.98,8148312,32417.60769
Austria,Europe,2007,79.829,8199783,36126.4927
Canada,Americas,1952,68.75,14785584,11367.16112
Canada,Americas,1957,69.96,17010154,12489.95006
Canada,Americas,1962,71.3,18985849,13462.48555
Canada,Americas,1967,72.13,20819767,16076.58803
Canada,Americas,1972,72.88,22284500,18970.57086
Canada,Americas,1977,74.21,23796400,22090.88306
Canada,Americas,1982,75.76,25201900,22898.79214
Canada,Americas,1987,76.86,26549700,26626.51503
Canada,Americas,1992,77.95,28523502,26342.88426
Canada,Americas,1997,78.61,30305843,28954.92589
Canada,Americas,2002,79.77,31902268,33328.96507
Canada,Americas,2007,80.653,33390141,36319.23501
China,Asia,1952,44,556263527,400.448611
China,Asia,1957,50.54896,637408000,575.9870009
China,Asia,1962,44.50136,665770000,487.6740183
China,Asia,1967,58.38112,754550000,612.7056934
China,Asia,1972,63.11888,862030000,676.9000921
China,Asia,1977,63.96736,943455000,741.2374699
China,Asia,1982,65.525,1000281000,962.4213805
China,Asia,1987,67.274,1084035000,1378.904018
China,Asia,1992,68.69,1164970000,1655.784158
China,Asia,1997,70.426,1230075000,2289.234136
China,Asia,2002,72.028,1280400000,3119.280896
China,Asia,2007,72.961,1318683096,4959.114854
Nigeria,Africa,1952,36.324,33119096,1077.281856
Nigeria,Africa,1957,37.802,37173340,1100.592563
Nigeria,Africa,1962,39.36,41871351,1150.927478
Nigeria,Africa,1967,41.04,47287752,1014.514104
Nigeria,Africa,1972,42.821,53740085,1698.388838
Nigeria,Africa,1977,44.514,62209173,1981.951806
Nigeria,Africa,1982,45.826,73039376,1576.97375
Nigeria,Africa,1987,46.886,81551520,1385.029563
Nigeria,Africa,1992,47.472,93364244,1619.848217
Nigeria,Africa,1997,47.464,106207839,1624.941275
Nigeria,Africa,2002,46.608,119901274,1615.286395
Nigeria,Africa,2007,46.859,135031164,2013.977305
